Crash Date,crashdate,MonthDay,dayofweek,year,month,day,week,TotalDeaths
9992008,,.,,,,,,1
1012006,1/1/2006,101,Sunday,2006,1,1,2,133
1012007,1/1/2007,101,Monday,2007,1,1,1,126
1012008,1/1/2008,101,Tuesday,2008,1,1,1,96
1012009,1/1/2009,101,Thursday,2009,1,1,1,112
1012010,1/1/2010,101,Friday,2010,1,1,1,120
1012011,1/1/2011,101,Saturday,2011,1,1,1,125
1012012,1/1/2012,101,Sunday,2012,1,1,2,134
1012013,1/1/2013,101,Tuesday,2013,1,1,1,85
1012014,1/1/2014,101,Wednesday,2014,1,1,1,111
1012015,1/1/2015,101,Thursday,2015,1,1,1,113
1012016,1/1/2016,101,Friday,2016,1,1,1,103
1022006,1/2/2006,102,Monday,2006,1,2,2,92
1022007,1/2/2007,102,Tuesday,2007,1,2,1,81
1022008,1/2/2008,102,Wednesday,2008,1,2,1,59
1022009,1/2/2009,102,Friday,2009,1,2,1,89
1022010,1/2/2010,102,Saturday,2010,1,2,1,58
1022011,1/2/2011,102,Sunday,2011,1,2,2,55
1022012,1/2/2012,102,Monday,2012,1,2,2,71
1022013,1/2/2013,102,Wednesday,2013,1,2,1,55
1022014,1/2/2014,102,Thursday,2014,1,2,1,82
1022015,1/2/2015,102,Friday,2015,1,2,1,71
1022016,1/2/2016,102,Saturday,2016,1,2,1,74
1032006,1/3/2006,103,Tuesday,2006,1,3,2,96
1032007,1/3/2007,103,Wednesday,2007,1,3,1,94
1032008,1/3/2008,103,Thursday,2008,1,3,1,66
1032009,1/3/2009,103,Saturday,2009,1,3,1,127
1032010,1/3/2010,103,Sunday,2010,1,3,2,49
1032011,1/3/2011,103,Monday,2011,1,3,2,78
1032012,1/3/2012,103,Tuesday,2012,1,3,2,68
1032013,1/3/2013,103,Thursday,2013,1,3,1,87
1032014,1/3/2014,103,Friday,2014,1,3,1,74
1032015,1/3/2015,103,Saturday,2015,1,3,1,104
1032016,1/3/2016,103,Sunday,2016,1,3,2,83
1042006,1/4/2006,104,Wednesday,2006,1,4,2,89
1042007,1/4/2007,104,Thursday,2007,1,4,1,86
1042008,1/4/2008,104,Friday,2008,1,4,1,102
